35;0;40.231;-0.066;-4.0698;163.573;;;0;
36.994;0.645;39.826;0.716;5.47745;188.064;;;
39.975;1.395;39.607;1.477;0.147751;43.9831;;;
39.945;2.093;39.475;2.229;-0.0468289;-31.7724;;;
38.905;2.72;39.029;2.989;;;;;
38.851;3.399;38.869;3.754;;;;;
38.786;4.076;38.905;4.107;;;;;
38.709;4.752;39.01;4.786;;;;;
38.62;5.427;39.008;5.497;;;;;
38.519;6.1;38.904;6.186;;;;;
39.392;6.945;38.968;6.904;;;;;
39.265;7.632;38.756;7.547;;;;;
38.147;8.108;38.708;8.239;;;;;
39.949;9.222;38.561;8.903;;;;;
38.811;9.676;38.574;9.623;;;;;
39.602;10.611;38.148;10.188;;;;;
36.527;10.474;37.876;10.827;;;;;
38.252;11.694;37.594;11.461;;;;;
37.091;12.051;37.39;12.109;;;;;
38.766;13.348;37.329;12.861;;;;;
33.828;12.312;37.014;13.48;;;;;
36.409;13.976;36.682;14.109;;;;;
36.16;14.609;36.44;14.725;;;;;
35.899;15.238;36.413;15.497;;;;;
39.282;17.489;36.222;16.165;;;;;
35.346;16.482;35.768;16.724;;;;;
35.951;17.534;35.654;17.384;;;;;
33.858;17.251;35.197;17.896;;;;;
37.966;20.187;35.417;18.845;;;;;
34.984;19.392;35.017;19.392;;;;;
33.774;19.5;34.127;19.679;;;34.127;19.679;
32.572;19.571;33.855;20.318;;;33.855;20.318;
31.377;19.607;33.491;20.912;;;33.491;20.912;
38.578;25.053;32.849;21.247;;;32.849;21.247;
31.503;21.249;32.152;21.643;;;32.152;21.643;
29.489;20.648;32.036;22.451;;;32.036;22.451;
32.36;23.511;31.092;22.527;;;31.092;22.527;
31.945;24.072;30.699;23.059;;;30.699;23.059;
26.792;20.932;30.173;23.447;;;30.173;23.447;
30.308;24.543;29.216;23.632;;;29.216;23.632;
33.705;28.282;28.859;24.207;;;28.859;24.207;
23.395;20.337;28.2;24.423;;;28.2;24.423;
28.239;25.426;27.676;24.878;;;27.676;24.878;
25.597;23.869;27.387;25.595;;;27.387;25.595;
28.054;27.091;27.576;26.711;;;27.576;26.711;
27.577;27.577;27.567;27.753;;;27.567;27.753;
22.229;23.018;27.02;28.29;;;27.02;28.29;
26.597;28.522;27.356;29.594;;;27.356;29.594;
28.772;31.955;27.196;30.477;;;27.196;30.477;
28.866;33.207;27.38;31.763;;;27.38;31.763;
30.211;36.004;27.124;32.577;;;27.124;32.577;
27.69;34.194;27.006;33.612;;;27.006;33.612;
27.089;34.672;28.055;36.246;;;28.055;36.246;
26.479;35.139;27.902;37.277;;;27.902;37.277;
27.625;38.023;27.44;37.957;;;27.44;37.957;
25.237;36.042;26.952;38.638;;;26.952;38.638;
26.282;38.964;26.409;39.341;;;26.409;39.341;
33.767;51.997;25.898;40.005;;;25.898;40.005;
24.906;39.858;25.499;40.902;;;25.499;40.902;
23.691;39.429;24.845;41.303;;;24.845;41.303;
23.499;40.703;24.177;41.801;;;24.177;41.801;
24.24;43.73;23.658;42.511;;;23.658;42.511;
22.065;41.498;22.832;42.651;;;22.832;42.651;
22.699;44.55;21.431;42.054;;;21.431;42.054;
19.288;39.546;20.795;42.674;;;20.795;42.674;
20.285;43.502;20.01;42.848;;;20.01;42.848;
19.523;43.85;19.176;42.93;;;19.176;42.93;
17.192;40.502;18.32;43.105;;;18.32;43.105;
18.355;45.432;17.59;43.505;;;17.59;43.505;
17.918;46.679;16.629;43.3;;;16.629;43.3;
15.048;41.346;16.005;43.92;;;16.005;43.92;
14.324;41.602;15.085;43.67;;;15.085;43.67;
14.832;45.65;14.291;43.935;;;14.291;43.935;
14.033;45.902;13.617;44.432;;;13.617;44.432;
12.128;42.295;12.711;44.229;;;12.711;44.229;
12.423;46.364;11.777;43.924;;;11.777;43.924;
10.16;40.752;11.077;44.386;;;;;
10.797;46.769;10.37;44.835;;;;;
9.771;45.972;9.509;44.655;;;;;
8.395;43.191;8.67;44.641;;;;;
7.64;43.331;7.908;44.69;;;;;
7.352;46.421;7.058;44.465;;;;;
6.541;46.542;6.372;45.3;;;;;
5.362;43.672;5.524;44.864;;;;;
4.808;45.748;4.707;44.775;;;;;
3.747;42.836;4.338;44.934;;;;;
3.069;43.892;3.502;44.7;;;;;
2.616;49.931;2.61;44.555;;;;;
1.465;41.974;1.726;44.294;;;;;
0.785;44.993;0.883;44.317;;;;;
0;42;0.019;44.125;;;;;
-0.715;40.993;-0.784;43.919;;;;;
-1.57;44.972;-1.651;44.095;;;;;
-2.302;43.939;-2.497;43.261;;;;;
-3.069;43.892;-3.363;43.607;;;;;
-3.834;43.832;-4.206;43.441;;;;;
-4.285;40.775;-4.552;43.24;;;;;
-5.606;45.657;-5.432;43.959;;;;;
-5.845;41.591;-6.189;43.768;;;;;
-7.196;45.433;-6.947;43.655;;;;;
-7.64;43.331;-7.703;43.528;;;;;
-8.014;41.228;-8.482;43.476;;;;;
-10.395;48.907;-9.156;43.247;;;;;
-9.897;42.872;-9.826;42.727;;;;;
-10.644;42.693;-10.834;43.416;;;;;
-11.388;42.5;-11.423;42.703;;;;;
-12.403;43.256;-12.227;42.668;;;;;
-11.694;38.252;-12.929;42.46;;;;;
-12.978;39.944;-13.618;41.863;;;;;
-16.929;49.166;-14.345;41.62;;;;;
-13.68;37.587;-15.145;41.528;;;;;
-16.484;42.944;-15.983;41.505;;;;;
-15.733;38.941;-16.671;41.137;;;;;
-17.973;42.343;-17.699;41.592;;;;;
-17.896;40.195;-18.458;41.459;;;;;
-19.44;41.69;-18.965;40.533;;;;;
